Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
4/1/17,SPM,1.54,1324.22,1.72,1474.06,43.44,1554.21,1.79,1533.01
4/1/17,DOC,5.62,4827.50,5.45,4681.10,145.91,5220.33,5.38,4623.25
4/2/17,SPM,1.55,1394.18,1.60,1437.06,43.38,1627.85,1.82,1634.65
4/2/17,DOC,5.61,5056.40,5.50,4952.38,145.59,5462.94,5.40,4864.02
4/3/17,SPM,1.55,1584.81,1.47,1500.30,43.25,1837.59,1.90,1937.50
4/3/17,DOC,5.61,5718.29,5.60,5710.74,145.41,6178.58,5.45,5556.90
4/4/17,SPM,1.56,1623.70,1.56,1623.70,43.23,1874.77,1.91,1993.09
4/4/17,DOC,5.60,5828.68,5.60,5828.68,145.42,6306.75,5.46,5680.47
4/5/17,SPM,1.59,1596.79,1.40,1404.21,43.31,1809.23,1.89,1892.28
4/5/17,DOC,5.60,5610.23,5.60,5613.81,144.75,6046.02,5.44,5455.60
4/6/17,SPM,1.63,1525.68,1.50,1405.78,43.21,1689.80,1.84,1728.78
4/6/17,DOC,5.59,5248.72,5.54,5199.90,144.48,5649.68,5.42,5083.16
4/7/17,SPM,1.66,1506.01,1.58,1430.75,43.01,1627.15,1.82,1653.02
4/7/17,DOC,5.59,5075.15,5.51,5000.98,144.03,5449.32,5.40,4907.09
4/8/17,SPM,1.69,1480.41,1.67,1459.08,43.03,1569.07,1.80,1572.97
4/8/17,DOC,5.59,4888.84,5.47,4788.26,142.86,5209.74,5.39,4718.44
4/9/17,SPM,1.72,1188.27,1.08,743.71,43.29,1243.17,1.66,1147.35
4/9/17,DOC,5.58,3846.88,6.01,4142.27,142.37,4087.99,5.32,3663.60
4/10/17,SPM,1.76,833.62,1.72,815.65,44.30,875.68,1.51,717.44
4/10/17,DOC,5.58,2646.56,5.58,2648.65,140.35,2774.39,5.23,2481.12
4/11/17,SPM,1.79,801.81,1.78,799.16,43.32,808.45,1.49,668.97
4/11/17,DOC,5.58,2497.26,5.27,2361.54,140.28,2618.20,5.22,2337.89
