datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-05-25 11:00:00+00:00,7.813873,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-26 11:00:00+00:00,7.291575,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-27 11:00:00+00:00,6.710429,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-28 11:00:00+00:00,6.291017,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-29 11:00:00+00:00,6.646663,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-30 11:00:00+00:00,7.051583,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-31 11:00:00+00:00,7.568241,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-01 11:00:00+00:00,8.18952,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-02 11:00:00+00:00,15.67962,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-03 11:00:00+00:00,36.04468,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-04 11:00:00+00:00,29.38974,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-05 11:00:00+00:00,24.22182,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-06 11:00:00+00:00,20.88622,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-07 11:00:00+00:00,21.91655,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-08 11:00:00+00:00,17.69561,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-09 11:00:00+00:00,15.64863,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-10 11:00:00+00:00,14.80415,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-11 11:00:00+00:00,13.51036,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-12 11:00:00+00:00,12.05483,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-13 11:00:00+00:00,9.474773,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-14 11:00:00+00:00,7.2064,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-15 11:00:00+00:00,4.484936,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-16 11:00:00+00:00,4.029128,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-17 11:00:00+00:00,4.475183,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-18 11:00:00+00:00,5.574933,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-19 11:00:00+00:00,5.506006,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-20 11:00:00+00:00,5.335127,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-21 11:00:00+00:00,5.005283,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-22 11:00:00+00:00,4.704224,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-23 11:00:00+00:00,4.516075,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-24 11:00:00+00:00,4.388731,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-25 11:00:00+00:00,4.183275,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-26 11:00:00+00:00,3.584825,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-27 11:00:00+00:00,3.350065,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-28 11:00:00+00:00,3.414662,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-29 11:00:00+00:00,3.476313,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-06-30 11:00:00+00:00,3.475753,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-01 11:00:00+00:00,3.419483,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-02 11:00:00+00:00,3.353093,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-03 11:00:00+00:00,3.297554,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-04 11:00:00+00:00,3.237868,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-05 11:00:00+00:00,3.192591,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
